Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	Eosin: Mean	Eosin: Median	Eosin: Min	Eosin: Max	Eosin: Std.Dev.
kwa-4 肺_Default_Extended.tif	a292e6b5-e044-4124-aaf0-a0a116503692	Detection			Annotation	Polygon	345.93	644.6	66	42	0.4702	0.8785	14.3178	7.2146	0.4085	0.3648	0.2041	0.9827	0.1328	0.2135	0.1454	0.0679	1.6048	0.2438
kwa-4 肺_Default_Extended.tif	6f04f3ce-0138-40a8-bf3b-79dba9f5ded0	Detection			Annotation	Polygon	258.38	645.06	12.75	17	0.5544	0.887	5.3852	3.5	0.4118	0.4095	0.1707	0.6737	0.103	0.1838	0.1698	0.0493	0.493	0.0973
kwa-4 肺_Default_Extended.tif	6cf5f61e-5e9d-43b5-91ee-cadbb127fcbb	Detection			Annotation	Polygon	393.06	646.1	85.25	45	0.529	0.9009	11.9336	10.198	0.623	0.6084	0.1859	1.0909	0.2043	0.4453	0.3079	0.0017	1.4792	0.357
kwa-4 肺_Default_Extended.tif	0c357ebf-e254-4725-b84c-9b93f3191cf6	Detection			Annotation	Polygon	433.82	645.64	34.25	28	0.549	0.9257	9.3941	5.5	0.5442	0.5445	0.2701	0.8511	0.1039	0.3274	0.2893	0.1358	0.9038	0.1451
kwa-4 肺_Default_Extended.tif	50138277-ad39-49e4-b178-205667470cd8	Detection			Annotation	Polygon	326.66	646.36	15.25	18	0.5915	0.9173	5.7009	3.8891	0.5825	0.6243	0.2935	0.7996	0.137	0.4823	0.2721	0.1342	1.7277	0.442
kwa-4 肺_Default_Extended.tif	2868992f-add4-44b4-a724-c3ebc5c66f6a	Detection			Annotation	Polygon	377.87	646.02	22.5	21	0.6411	0.9424	6.8101	5	0.6265	0.6303	0.362	0.9257	0.1239	0.5773	0.4117	0.1143	1.4857	0.4293
kwa-4 肺_Default_Extended.tif	7ddc95c7-77cf-4abc-84ce-039b3e969fc4	Detection			Annotation	Polygon	411.5	645.99	54.5	34	0.5924	0.9198	10	8	0.6393	0.6125	0.2414	1.1066	0.1798	0.6306	0.4367	0.0857	1.6623	0.4719
kwa-4 肺_Default_Extended.tif	f6726a99-bfc5-4074-817a-c878dcbbe2ad	Detection			Annotation	Polygon	288.31	646.9	22.5	22	0.5842	0.9137	6.8007	4.5	0.4725	0.4712	0.2062	0.7549	0.1227	0.2772	0.2012	0.0533	1.1949	0.2266
kwa-4 肺_Default_Extended.tif	2df7ba22-aa95-4a7a-8855-1abfd5a92e6c	Detection			Annotation	Polygon	321.62	647.68	11	15	0.6144	0.898	4.5069	3.5	0.7277	0.7495	0.3863	1.0723	0.181	0.7492	0.5288	0.1337	1.489	0.5057
kwa-4 肺_Default_Extended.tif	855538dc-185b-4913-a5fd-1fa75c752da1	Detection			Annotation	Polygon	356.35	648.08	49	33	0.5654	0.9267	10.5119	6.6884	0.3138	0.3014	0.1805	0.6941	0.077	0.2112	0.1904	0.086	0.6259	0.095
kwa-4 肺_Default_Extended.tif	03dbd33a-4be7-4f5b-9eeb-29e4e9a3bafa	Detection			Annotation	Polygon	277.28	648.13	54.5	34	0.5924	0.9316	9.2154	8.2735	0.781	0.7849	0.2631	1.3285	0.2091	0.6086	0.4481	-0.0036	1.4824	0.4291
